Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Matt Martin,,,,,,,,,,,,
Cal Clutterbuck,,,,,,,,,,,,
Mike Reilly,,,,,,,,,,,115,1.5
Alexander Romanov,,,,,,,,,,,,
Scott Mayfield,,,,,,,,,,,,
Matthew Kessel,,,,,,,,,,,,
Calle Rosen,,,,,,,,,,,,
Bo Horvat,,,,,,,-240,,0.5,,117,2.5
David Pastrnak,-170,,0.5,,,,,,,,-108,4.5
Charlie McAvoy,-128,,0.5,,,,-165,,0.5,,130,1.5
Pavel Zacha,130,,0.5,,,,-140,,0.5,,127,1.5
Jonathan Huberdeau,130,,0.5,,,,-122,,0.5,,,
Rasmus Andersson,155,,0.5,,,,121,,0.5,,127,1.5
Charlie Coyle,160,,0.5,,,,-121,,0.5,,,
Noah Hanifin,165,,0.5,,,,,,,,-170,2.5
Jake DeBrusk,170,,0.5,,,,,,,,-198,2.5
Mikael Backlund,175,,0.5,,,,-112,,0.5,,-105,2.5
Andrei Kuzmenko,185,,0.5,,,,100,,0.5,,-107,1.5
Yegor Sharangovich,200,,0.5,,,,-113,,0.5,,-173,2.5
MacKenzie Weegar,205,,0.5,,,,135,,0.5,,-164,2.5
James van Riemsdyk,205,,0.5,,,,107,,0.5,,113,1.5
Andrew Mangiapane,210,,0.5,,,,,,,,139,1.5
Connor Zary,225,,0.5,,,,118,,0.5,,,
Nazem Kadri,,,,,,,-165,,0.5,,-155,3.5
Brad Marchand,,,,,,,-255,,0.5,,-137,2.5
Blake Coleman,,,,,,,-106,,0.5,,-146,2.5
Morgan Geekie,,,,,,,,,,,,
Trent Frederic,,,,,,,,,,,,
Martin Pospisil,,,,,,,,,,,,
Dryden Hunt,,,,,,,,,,,,
Justin Brazeau,,,,,,,,,,,,
Jesper Boqvist,,,,,,,,,,,,
Walker Duehr,,,,,,,,,,,,
Oliver Kylington,,,,,,,,,,,,
Chris Tanev,,,,,,,,,,,,
Brandon Carlo,,,,,,,,,,,,
Brayden Pachal,,,,,,,,,,,,
Parker Wotherspoon,,,,,,,,,,,,
Ian Mitchell,,,,,,,,,,,,
Derek Forbort,,,,,,,,,,,,
Quinn Hughes,-155,,0.5,,,,-190,,0.5,,-183,2.5
Elias Pettersson,-116,,0.5,,,,,,,,-119,2.5
Vince Dunn,107,,0.5,,,,-127,,0.5,,-170,2.5
Filip Hronek,122,,0.5,,,,100,,0.5,,102,1.5
Elias Lindholm,140,,0.5,,,,-140,,0.5,,-183,2.5
Brock Boeser,145,,0.5,,,,-155,,0.5,,-149,2.5
Oliver Bjorkstrand,175,,0.5,,,,-111,,0.5,,-158,2.5
Jordan Eberle,195,,0.5,,,,-105,,0.5,,133,1.5
Alex Wennberg,200,,0.5,,,,125,,0.5,,,
Eeli Tolvanen,210,,0.5,,,,110,,0.5,,108,1.5
Yanni Gourde,225,,0.5,,,,128,,0.5,,123,1.5
Jaden Schwartz,230,,0.5,,,,112,,0.5,,130,1.5
J.T. Miller,,,,,,,-255,,0.5,,-131,2.5
Conor Garland,,,,,,,,,,,-198,2.5
Pius Suter,,,,,,,,,,,,
Matty Beniers,,,,,,,,,,,,
Nils Hoglander,,,,,,,,,,,,
Andre Burakovsky,,,,,,,113,,0.5,,-105,1.5
Ilya Mikheyev,,,,,,,,,,,,
Tomas Tatar,,,,,,,,,,,,
Brandon Tanev,,,,,,,,,,,,
Teddy Blueger,,,,,,,,,,,,
Sam Lafferty,,,,,,,,,,,,
Arshdeep Bains,,,,,,,,,,,,
Adam Larsson,,,,,,,,,,,,
Justin Schultz,,,,,,,,,,,,
Nils Aman,,,,,,,,,,,,
Jamie Oleksiak,,,,,,,,,,,,
Will Borgen,,,,,,,,,,,,
Tyler Myers,,,,,,,,,,,,
Brian Dumoulin,,,,,,,,,,,,
Ian Cole,,,,,,,,,,,,
William Nylander,-205,,0.5,,,,,,,,-121,3.5
Mitchell Marner,-165,,0.5,,,,-280,,0.5,,-113,2.5
Shea Theodore,-112,,0.5,,,,-145,,0.5,,-137,2.5
Auston Matthews,-104,,0.5,,,,,,,,117,3.5
William Karlsson,103,,0.5,,,,-185,,0.5,,-129,2.5
Chandler Stephenson,117,,0.5,,,,-145,,0.5,,,
Alex Pietrangelo,124,,0.5,,,,101,,0.5,,-208,2.5
Jonathan Marchessault,155,,0.5,,,,-180,,0.5,,-170,3.5
Nicolas Roy,165,,0.5,,,,-101,,0.5,,102,1.5
Ivan Barbashev,215,,0.5,,,,109,,0.5,,,
Tyler Bertuzzi,270,,0.5,,,,140,,0.5,,113,1.5
John Tavares,,,,,,,,,,,-178,3.5
Paul Cotter,,,,,,,,,,,,
Max Domi,,,,,,,,,,,,
Nicholas Robertson,,,,,,,,,,,,
Noah Gregor,,,,,,,,,,,111,1.5
Brett Howden,,,,,,,,,,,,
Grigori Denisenko,,,,,,,,,,,,
David Kampf,,,,,,,,,,,,
Keegan Kolesar,,,,,,,,,,,,
Alec Martinez,,,,,,,,,,,,
Ryan Reaves,,,,,,,,,,,,
Jake McCabe,,,,,,,,,,,,
Simon Benoit,,,,,,,,,,,,
Zach Whitecloud,,,,,,,,,,,,
Nicolas Hague,,,,,,,,,,,,
TJ Brodie,,,,,,,,,,,,
Max Lajoie,,,,,,,,,,,,
Kevin Fiala,-108,,0.5,,,,-195,,0.5,,-117,2.5
