Name,Points_Line,Steals_Line,PointsAssists_Line,Blocks_Line,Rebounds_Line,PointsRebounds_Line,Double_Line,Assists_Line,PointsReboundsAssists_Line,BlocksSteals_Line,Triple_Line,Turnovers_Line,ReboundsAssists_Line,Threes_Line
Vince Williams Jr.,11.5,1.5s,16.5,0.5s,6.0,17.5,,,22.5,1.5,,,11.0,1.5s
Santi Aldama,,0.5,,0.5s,5.0,,,,15.5,1.5s,,,7.5,1.5s
GG Jackson,,0.5,13.5,0.5,,17.5,,,18.5,1.5s,,1.5s,5.5,1.5s
Ziaire Williams,,1.5s,,0.5s,3.5,,,,15.5,1.5s,,,,1.5s
Lamar Stevens,,0.5s,7.5,0.5s,4.0,11.5,,,12.5,0.5s,,0.5s,5.0,0.5s
Donovan Mitchell,26.0,1.5,31.5,0.5s,5.0,30.5,,5.0,36.5,2.0,,,10.5,3.5
Darius Garland,15.5,1.5s,21.5,0.5s,,17.5,,6.5s,23.5,1.5s,,2.5,8.5,1.5s
DeMar DeRozan,,0.5s,27.5,0.5s,,27.5,,4.5,31.5,1.5s,,1.5s,8.5,0.5s
Evan Mobley,13.5,0.5s,,1.5s,8.5,22.5,0.5s,,24.5,2.0,,1.5,,0.5s
Jarrett Allen,16.5,0.5,,1.5s,11.0,27.5,0.5s,,29.5,1.5s,,1.5,,
Coby White,20.5,0.5s,26.5,0.5s,5.0,25.5,,5.0,31.5,0.5s,,2.5,10.5,2.5s
Nikola Vucevic,17.5,0.5s,20.5,0.5s,10.5s,28.5,0.5s,,31.5,1.5,,1.5s,,1.5s
Max Strus,,0.5s,,0.5s,,,,,16.5,1.5s,,,7.0,1.5s
Caris LeVert,,0.5,15.5,0.5s,3.5,15.5,,4.0,19.5,1.5s,,1.5s,8.0,1.5s
Ayo Dosunmu,,1.5s,17.5,0.5s,3.5,16.5,,4.0,21.5,1.5,,1.5s,7.5,1.5
Isaac Okoro,,0.5,8.5,0.5s,,9.5,,,10.5,0.5s,,0.5,3.5,0.5s
Georges Niang,,0.5s,6.5,0.5s,2.5,9.5,,0.5,9.5,0.5s,,0.5s,3.5,1.5s
Nikola Jokic,26.5,1.5s,36.5,0.5s,13.0,39.5,0.5s,9.5,49.5,2.0,0.5s,2.5s,22.5,0.5s
De'Aaron Fox,,1.5s,31.5,0.5s,4.0,30.5,,6.0,36.0,2.5s,,2.5s,10.0,2.5s
Jamal Murray,22.5,0.5s,29.5,0.5s,,26.5,,7.0,33.5,1.5s,,2.5s,10.5,2.5s
Domantas Sabonis,18.5,0.5s,26.5,0.5s,13.5,31.5,,8.0,39.5,1.5s,0.5s,2.5,21.5,0.5s
Aaron Gordon,14.5,0.5s,17.5,0.5s,6.0,20.5,,,23.5,1.5s,,1.5s,8.5s,0.5
Michael Porter Jr.,16.5,0.5s,,0.5s,6.5,23.5,,,25.5,0.5s,,,,2.5
Keegan Murray,,0.5s,,0.5s,5.0,17.5,,,19.5,1.5s,,,6.5,1.5
Harrison Barnes,,0.5,,0.5s,2.5,,,,14.5,0.5s,,,,1.5s
Kentavious Caldwell-Pope,,0.5s,,0.5s,2.5,,,,14.5,1.5s,,,,1.5
Malik Monk,,0.5s,19.5,0.5s,3.0,17.5,,4.5,22.5,1.5s,,2.0,7.5,1.5
Kevin Huerter,,0.5,,0.5s,3.5,15.5,,,17.5,0.5s,,,,2.0
Reggie Jackson,,0.5s,,0.5s,1.5,,,,13.5,0.5,,,,0.5s
Christian Braun,,0.5,,0.5s,3.5,,,,10.5,0.5s,,,,0.5s
Trey Lyles,,0.5s,6.0,0.5s,,9.5,,,10.5,0.5,,0.5,4.5,0.5s
Peyton Watson,,0.5s,7.0,0.5s,3.5,9.5,,,10.5,1.5s,,0.5s,4.5,0.5
LeBron James,24.5,0.5s,32.5,,6.5s,31.5,0.5s,7.5,39.5,1.5,,3.0,14.5,1.5s
Kawhi Leonard,26.5,,30.5,0.5s,,33.5,,,37.5,,,2.0,11.0,2.0
Anthony Davis,24.5,0.5s,27.5,2.5s,13.5s,38.5,,,41.5,3.5,,1.5s,16.5,0.5s
James Harden,20.5,0.5s,29.5,0.5,6.0,26.5,0.5s,8.5,35.5,1.5s,,,14.5,
Austin Reaves,,0.5s,19.5,0.5s,3.5,17.5,,5.0,23.5,1.5s,,1.5,8.5,1.5
D'Angelo Russell,17.5,0.5s,23.5,0.5s,,20.5,,5.5s,26.5,1.5s,,2.0,8.5,2.5
Norman Powell,,0.5s,20.5,0.5s,,22.5,,,24.5,1.5s,,1.5s,,2.5s
Rui Hachimura,,0.5s,,0.5,4.0,15.5,,,16.5,1.5,,,,1.5s
Ivica Zubac,12.5,0.5s,,0.5s,9.5,21.5,0.5s,,23.5,1.5s,,1.5s,,
Terance Mann,,0.5s,,0.5s,,16.5,,,18.5,0.5,,,7.0,1.5s
