Name,PointsRebounds_Line,Turnovers_Line,ReboundsAssists_Line,PointsAssists_Line,BlocksSteals_Line,Double_Line,PointsReboundsAssists_Line,Fantasy_Line,Rebounds_Line,Steals_Line,Blocks_Line,FT_Line,Points_Line,Triple_Line,Threes_Line,Assists_Line
Anfernee Simons,28.5,3.0,9.5,30.5,,,34.5,,3.5,0.5,0.5s,4.0,29.5s,,3.5s,6.0
Deandre Ayton,34.5,2.0,13.5,23.5,2.0,0.5s,35.5,,12.5,0.5s,0.5s,,25.5s,,,
Scoot Henderson,19.5,,9.5,21.5,1.5s,,25.5,,3.5,0.5s,0.5s,,15.5,,1.5s,6.0
Norman Powell,17.5,1.5s,,15.5,,,18.5,,,0.5s,0.5s,,,,2.5s,
Ivica Zubac,19.5,1.5s,10.5,,1.5,,20.5,,9.5s,,1.5s,,,,,
Terance Mann,,,,,1.5s,,13.5,,3.5,0.5s,,,,,0.5s,
Kris Murray,,,6.5,,1.5,,14.5,,4.0,0.5s,0.5s,,,,0.5s,
Toumani Camara,,1.5s,7.0,,1.5,,15.5,,5.5s,0.5s,,,,,0.5s,
DeMar DeRozan,,,9.0,,,,32.5,,4.5,,,,,,0.5s,4.5
Fred VanVleet,,,12.0,,,0.5s,29.5,,,,,,16.5,,2.5s,8.0
Dillon Brooks,,,,,,,16.5,,3.0,,,,,,1.5s,
Nikola Vucevic,,,14.5,,,0.5s,33.5,,12.0,,,,19.5,,1.5s,
Jalen Green,,,9.0,,,,33.5,,6.0,,,,24.5,,2.5s,
Amen Thompson,,,11.5,,,0.5s,25.5,,8.5,,,,13.5,,0.5s,
Jabari Smith Jr.,,,10.0,,,0.5s,25.5,,8.5,,,,15.5,,2.0,
Ayo Dosunmu,,,8.5,,,,23.5,,,,,,,,1.5s,4.5
