Name,Fantasy_Line,Threes_Line,Double_Line,FT_Line,Triple_Line,Blocks_Line,Turnovers_Line,PointsReboundsAssists_Line,PointsRebounds_Line,Points_Line,ReboundsAssists_Line,Steals_Line,PointsAssists_Line,Assists_Line,BlocksSteals_Line,Rebounds_Line
Zach Collins,,0.5s,,,,0.5s,1.5s,14.5,,,6.5,0.5s,,,0.5s,4.0
Julian Champagnie,,0.5s,,,,0.5s,,,,,,0.5,,,0.5s,3.0
Malaki Branham,,0.5s,,,,,,11.5,,,,0.5s,,,0.5s,
Blake Wesley,,0.5s,,,,0.5s,,,,,,0.5s,,,0.5,1.5
Giannis Antetokounmpo,57.65,0.5s,,7.5,0.5s,0.5s,2.5,48.5,41.5,29.5,18.5,1.5s,36.5,7.0,2.0,11.5
Damian Lillard,40.05,3.0,,7.0,,0.5s,2.5,35.5,28.5,24.5,11.0,1.5s,31.5,7.0,1.5s,4.0
Brook Lopez,,1.5s,,,,2.5,1.5s,20.5,18.5,,7.0,,,,,5.5
Miles Bridges,36.95,2.5s,0.5s,2.5,,0.5s,2.5s,32.5,28.5,20.5,11.5,0.5s,24.5,4.0,1.5,7.5
Grant Williams,,1.5s,,,,0.5s,1.5s,15.5,,,,0.5,,,0.5s,
Bobby Portis,,1.5s,,,,0.5s,1.5s,22.5,21.0,13.5,8.5,0.5s,15.5,,1.5s,7.0
Pat Connaughton,,1.5s,,,,0.5s,,,,,,0.5,,,0.5s,4.0
Patrick Beverley,,0.5,,,,0.5s,,10.5,,,5.5,0.5,,,0.5s,
Seth Curry,,1.5s,,,,0.5s,,10.5,,,,0.5s,,,0.5,1.5
Nick Richards,,,0.5s,,,1.5s,1.5s,20.5,19.5,10.5,10.0,0.5s,,,1.5,9.0
Jae Crowder,,0.5s,,,,0.5s,,11.5,,,5.5,0.5s,,,1.5s,4.0
Tre Mann,,1.5,,,,0.5s,1.5,20.5,15.5,,8.5,0.5s,16.0,4.5s,1.5s,4.0
Brandon Miller,,2.5,,,,0.5s,2.5,25.5,22.5,,6.5,0.5s,20.5,,1.5,4.0
Vasilije Micic,,0.5s,,,,0.5s,1.5,14.5,,,6.5,0.5s,,4.5,0.5s,
Cody Martin,,0.5s,,,,0.5s,1.5,16.5,,,8.0,0.5s,,3.5,1.5s,4.5
Malik Beasley,,3.5s,,,,0.5s,,17.5,16.5,12.0s,,0.5s,,,1.5s,
DeMar DeRozan,36.85,0.5s,,6.0,,0.5s,1.5,33.5,27.5,,9.0,1.5s,28.5,5.0,1.5,4.0
Cade Cunningham,,1.5s,,4.0,,0.5s,3.5s,33.0,26.0,21.5,11.5,,29.5,7.0,1.5s,4.0
Alex Caruso,,1.5,,,,1.5s,1.5s,17.5,,,,2.0,,,3.5s,4.0
Coby White,,3.5s,,3.0,,0.5s,2.0,32.5,27.5,,10.0,0.5s,27.5,5.0,,4.5
Nikola Vucevic,40.65,1.5s,0.5s,,,1.5s,1.5,34.5,31.5,19.5,14.5,0.5s,22.5,,2.0,11.5
Jaden Ivey,,1.5s,,3.0,,0.5s,2.0,21.0,17.5,,,0.5,18.5,3.5,0.5s,
Jalen Duren,,,0.5s,,,0.5,1.5,26.5,24.5,13.5,13.5,,15.5,,1.5s,10.5s
Andre Drummond,,,0.5s,,,0.5,,18.5,17.5,8.5,9.5,,,,1.5,8.5
Ayo Dosunmu,,1.5,,,,0.5,1.5,22.5,18.5,,8.0,1.5s,19.5,,1.5,3.5
Jevon Carter,,1.5s,,,,0.5s,,,,,,0.5,,,0.5s,
Simone Fontecchio,,2.5s,,,,0.5s,,16.5,,,,0.5,,,,3.0
Shai Gilgeous-Alexander,53.65,1.5s,,8.0,,0.5s,2.5,44.5,37.5,31.5,12.5,1.5,38.5,6.5,2.5,5.5s
Alperen Sengun,39.25,0.5s,0.5s,4.0,,0.5s,2.5,35.5,30.5,20.5,14.5,,24.5,4.5,1.5s,9.5s
Chet Holmgren,37.85,1.5s,0.5s,,,2.5s,1.5,26.5,24.5,15.5,10.5,0.5,18.5,,3.5,
Jalen Williams,,1.5,,2.5,,0.5s,1.5,29.5,24.5,,9.0,0.5s,24.5,4.5,1.5,4.0
Fred VanVleet,,2.5s,,,,0.5s,1.5s,25.5,19.5,15.5,10.0,1.5s,22.5,6.5,,3.5
Dillon Brooks,,1.5s,,,,0.5s,1.5s,17.5,15.5,,,0.5s,,,0.5s,3.0
Jalen Green,,1.5,,3.5,,0.5s,1.5s,23.5,20.5,,8.5s,,19.5,,1.5s,4.5
