Name,Turnovers_Line,Threes_Line,ReboundsAssists_Line,Steals_Line,Points_Line,BlocksSteals_Line,Double_Line,Blocks_Line,Rebounds_Line,PointsRebounds_Line,Triple_Line,PointsAssists_Line,PointsReboundsAssists_Line,Assists_Line
Chet Holmgren,1.5s,1.5,11.5,0.5s,15.5,3.5,0.5s,2.5,8.5,23.5,,17.5,26.5,
Jalen Williams,1.5s,1.5s,9.5,1.5s,,1.5,,0.5s,4.5,25.5,,25.5,30.5,4.5
Kyle Kuzma,3.0,2.0,11.0,0.5,21.5,1.5,0.5s,0.5s,7.0,28.5,,24.5,32.5,3.5
Jordan Poole,2.0,1.5s,5.5,0.5s,,1.5s,,0.5s,2.5,16.5,,17.5,19.5,3.0
Tyus Jones,1.5s,1.5,11.5,0.5s,12.5,1.5s,0.5s,0.5s,2.5,15.5,,21.5,24.5,8.5
Josh Giddey,1.5s,0.5s,10.0,0.5,10.5,0.5s,,0.5s,6.0,17.5,,,21.5,
Deni Avdija,2.5,1.5s,11.0,0.5s,14.5,1.5s,0.5s,0.5,7.5,22.5,,18.5,26.5,
Luguentz Dort,,1.5s,5.0,0.5s,,1.5,,0.5s,,,,,16.5,
Cason Wallace,,0.5s,,0.5s,,1.5s,,0.5s,,,,,,
Marvin Bagley III,1.5s,,8.0,0.5s,11.5,1.5,,0.5s,6.5,,,,19.5,
Corey Kispert,1.5s,2.0,5.0,0.5s,,0.5,,0.5s,3.0,14.5,,13.5,16.5,
Bilal Coulibaly,1.5,0.5s,6.5,0.5s,,1.5s,,0.5,4.5,12.5,,9.5,14.5,1.5
Aaron Wiggins,,0.5s,4.0,0.5,,0.5s,,0.5s,3.0,9.5,,7.5,10.5,
Isaiah Joe,,1.5,3.5,0.5s,,0.5s,,0.5s,,9.5,,8.5,10.5,
Kevin Durant,3.5,2.0,12.5,1.5s,27.5,2.5,0.5s,1.5s,7.0,35.5,,32.5,40.5,5.0
Devin Booker,2.5,2.0,10.5,1.5s,28.5,1.5,,0.5s,4.5,33.5,,34.5,39.5,6.0
Alperen Sengun,2.5,0.5s,14.5,1.5s,19.5,1.5s,,0.5,9.5,29.5,,25.5,34.5,5.0
Fred VanVleet,1.5s,,10.0,1.5s,13.5,2.5s,,0.5s,,17.5,,20.5,24.5,6.5
Dillon Brooks,1.5s,1.5s,,0.5s,,1.5s,,0.5s,,16.5,,,18.5,
Jalen Green,1.5s,1.5s,7.5,0.5s,,1.5s,,0.5s,4.5,20.5,,19.5,24.0,
Jusuf Nurkic,1.5s,0.5s,13.0,0.5s,10.0,2.0,0.5s,0.5s,10.0,20.5,,,23.5,
Amen Thompson,1.5s,0.5s,9.0,1.5s,,1.5s,,0.5s,5.5,15.5,,12.5,18.5,
Jabari Smith Jr.,1.5s,1.5,9.5,0.5s,12.5,1.5s,0.5s,0.5s,8.5,21.5,,,22.5,
Grayson Allen,1.5s,2.0,7.0,0.5s,,1.5,,0.5,4.0,15.5,,,18.5,
Cam Whitmore,1.5s,1.5s,4.5,0.5s,,1.5s,,0.5s,4.0,16.5,,13.5,17.5,0.5
Jeff Green,,0.5s,2.5,0.5s,,0.5s,,0.5s,,6.5,,5.5,7.5,0.5
Kawhi Leonard,1.5s,2.5s,9.5,1.5,23.5,2.5,,0.5s,6.0,29.5,,26.5,33.5,3.5
Paul George,2.0,3.0,9.0,1.5,,2.0,,0.5s,5.5,27.5,,25.5,30.5,3.5
James Harden,2.5,2.5s,13.5,0.5s,16.5,1.5s,0.5s,0.5s,5.5,22.5,,24.5,29.5,8.0
Jaren Jackson Jr.,3.5s,2.5s,8.0,1.5s,,2.5s,,1.5s,5.0,29.5,,27.5,32.5,
Ivica Zubac,1.5s,,10.5,0.5s,10.5,1.5,0.5s,1.5s,9.5,20.5,,11.5,21.5,
Vince Williams Jr.,1.5s,1.5s,11.5,1.5s,12.5,1.5,,0.5s,6.5,18.5,,17.5,24.5,5.0
Terance Mann,,0.5s,,0.5,,0.5s,,0.5s,,,,,12.5,
Santi Aldama,,1.5s,8.5,0.5,,1.5s,,0.5s,5.0,15.5,,,18.5,
Nikola Jokic,3.0,0.5s,22.5,1.5s,25.5,2.0,,0.5s,12.5,38.5,0.5s,34.5,47.5,9.0
Jamal Murray,2.0,2.5s,10.5,1.5s,19.5,1.5,,0.5s,,23.5,,26.5,30.5,7.0
Aaron Gordon,1.5,0.5,8.5,0.5s,14.5,1.5,,0.5,6.0,20.5,,17.5,23.5,
Jerami Grant,2.0,1.5s,7.0,0.5,,1.5s,,0.5,,26.5,,25.5,29.5,
Anfernee Simons,2.5s,3.5,9.5,0.5,24.5,0.5s,,0.5s,,27.5,,30.5,33.5,6.0
Michael Porter Jr.,1.5s,2.5,7.5,0.5s,15.5,0.5s,,0.5s,6.0,21.5,,16.5,23.5,
Deandre Ayton,1.5,,,0.5s,15.5,1.5s,,0.5s,10.0,25.5,,,27.5,
Stephen Curry,3.0,5.5,10.0,0.5s,28.5,1.5s,,0.5s,4.0,33.5,,35.5,39.5,6.0
Draymond Green,2.0,0.5s,13.5,0.5s,9.5,1.5s,,0.5s,7.0,16.5,,15.5,23.5,6.0
Miles Bridges,2.0,2.5,12.0,1.5s,22.5,1.5s,0.5s,0.5,7.5,30.5,,27.5,35.5,4.5
Andrew Wiggins,,1.5s,6.5,0.5s,,1.5s,,0.5s,4.5,17.5,,,19.5,
Nick Richards,1.5s,,9.5,0.5s,10.5,1.5,0.5s,1.5s,8.5,,,,20.5,
Brandin Podziemski,1.5s,1.5,11.5,0.5s,12.5,1.5s,,0.5s,6.5,18.5,,17.5,24.5,5.0
Brandon Miller,1.5s,3.0,7.0,1.5s,,1.5s,,0.5,4.5,24.5,,22.5,27.5,
Cody Martin,1.5,0.5s,8.0,1.5s,,1.5,,0.5s,4.0,,,,16.5,3.5
Jonathan Kuminga,1.5,0.5,8.0,0.5,,1.5s,,0.5s,5.0,22.5,,19.5,24.5,
Giannis Antetokounmpo,3.0,0.5s,17.5,1.5s,27.5,2.0,0.5s,0.5s,11.0,39.5,0.5s,34.5,45.5,6.5
