Name,Threes_Line,Triple_Line,BlocksSteals_Line,PointsReboundsAssists_Line,Blocks_Line,PointsRebounds_Line,PointsAssists_Line,Rebounds_Line,Assists_Line,ReboundsAssists_Line,Double_Line,Turnovers_Line,Steals_Line,Points_Line,Fantasy_Line,FT_Line
Tre Jones,0.5s,,1.5s,22.0,,,17.5,3.5,7.0,11.0,,1.5s,1.5s,10.5,,
Grayson Allen,3.5s,,1.5,20.5,,17.5,16.5,,,6.5,,1.5s,1.5s,,,
Julian Champagnie,1.5s,,0.5s,,0.5s,,,,,,,,0.5,,,
Jayson Tatum,4.0,,1.5,47.5,0.5s,41.5,38.5,9.0,5.5,14.5,0.5s,3.0,0.5s,32.5,50.15,
Derrick White,,,,,,,,,,,,,,,,
DeMar DeRozan,0.5s,,1.5s,30.5,0.5s,26.5,26.5,4.0,,8.5,,1.5,0.5s,17.5s,,
Alex Caruso,1.5s,,2.0,17.5,0.5,,,,4.0,7.5,,1.5s,1.5s,,,
Nikola Vucevic,0.5s,,1.5s,31.5,0.5,29.5,20.5,10.5,,13.5,0.5s,1.5,0.5s,14.5s,,
Ayo Dosunmu,1.5,,1.5s,23.5,0.5s,18.5,19.5,,4.5,8.0,,1.5s,0.5s,,,
Kyle Kuzma,1.5s,,1.5s,37.5,0.5,32.5,29.5,7.5,5.5,13.0,0.5s,3.5,1.5s,29.5s,43.35,3.0
Deni Avdija,1.5s,,1.5s,30.5,0.5s,26.5,21.5,9.0,4.0,13.0,0.5s,2.5s,0.5s,24.5s,,
Gary Trent Jr.,3.5s,,1.5,26.5,0.5s,24.5,22.5,4.0,,6.5,,1.5s,1.5s,,,
Bruce Brown,,,1.5s,23.5,0.5s,17.5,17.5,5.0,5.5s,10.0,,,0.5s,12.5,,
Kelly Olynyk,0.5s,,1.5s,27.5,0.5s,21.5,19.5,6.5,5.5,12.5,,2.5,1.5s,14.5,,
Corey Kispert,2.5s,,1.5s,22.5,0.5s,20.5,19.5,3.5,,6.5,,1.5s,0.5s,11.5s,,
Gradey Dick,2.0,,1.5s,19.5,0.5s,17.5,15.5,3.5,,,,1.5,0.5s,,,
Ochai Agbaji,1.5s,,1.5,17.5,0.5,15.5,,,,,,1.5s,0.5s,,,
Aaron Gordon,0.5,,1.5,30.5,0.5s,25.5,23.5,6.5,5.0,11.5,,1.5s,0.5s,18.5,,
Michael Porter Jr.,3.5,,1.5s,31.5,0.5,29.5,23.5,7.5,,9.5,,1.5,1.5s,21.5,,
Kentavious Caldwell-Pope,1.5s,,2.5s,17.5,0.5,14.5,15.5,2.5,3.0,5.5,,1.5s,1.5,,,
