Name,PointsAssists_Line,PointsRebounds_Line,Assists_Line,Blocks_Line,Triple_Line,Fantasy_Line,Points_Line,ReboundsAssists_Line,Turnovers_Line,BlocksSteals_Line,Rebounds_Line,FT_Line,Double_Line,Steals_Line,PointsReboundsAssists_Line,Threes_Line
Aaron Wiggins,6.5,8.5,,0.5s,,,,3.5,0.5,0.5,2.5,,,0.5s,9.5,0.5s
Kenrich Williams,5.5,6.5,,0.5s,,,,3.5,0.5s,0.5,2.5,,,0.5s,8.5,0.5
Jalen Johnson,19.5,24.5,3.5,1.5s,,,15.5,,1.5s,2.5,8.5,,0.5s,1.5s,27.5,0.5s
Jalen Suggs,,,,0.5s,,,,6.0,2.0,1.5s,3.0,,,0.5s,19.5,2.5s
Dejounte Murray,31.5,28.5,7.5,0.5s,,,23.5,13.0,2.5s,1.5,5.0,3.5,0.5s,1.5s,36.5,2.0
Franz Wagner,27.5,27.5,5.0,0.5s,,,,10.0,2.0,1.5s,5.0,,,0.5s,32.5,1.5
Clint Capela,,17.5,,0.5s,,,9.5,,,1.5,7.5,,,0.5s,17.5,
Wendell Carter Jr.,,19.5,,0.5,,,12.5,8.5,1.5s,1.5s,7.0,,,0.5s,21.5,0.5s
Markelle Fultz,,,4.5,0.5s,,,,7.5,1.5s,1.5s,,,,0.5s,17.5,
De'Andre Hunter,16.5,18.5,,0.5s,,,,5.0,1.5,1.5s,3.5,,,0.5s,20.5,2.0
Saddiq Bey,,,,0.5s,,,,,,1.5s,5.5,,,0.5s,22.5,1.5
Bogdan Bogdanovic,21.5,20.5,3.5,0.5s,,,,7.0,1.5,1.5,,,,1.5s,24.5,2.5
Bruno Fernando,7.5,12.5,,0.5s,,,,6.5,0.5s,1.5,5.5,,,0.5s,13.5,
Nikola Jokic,36.5,39.5,9.5,0.5s,0.5s,59.55,26.5,22.5,2.5s,2.0,12.5,,,1.5s,49.5,1.5s
Stephen Curry,32.5,30.5,5.5,0.5s,,39.55,,8.5,3.0,0.5s,,,,0.5,36.5,4.5
Jamal Murray,27.5,24.5,7.0,0.5s,,39.55,21.5,10.5,2.0,1.5,3.5,,,1.5s,31.5,2.5s
Aaron Gordon,,,,0.5s,,,15.5,9.5,1.5s,1.5s,6.0,,,0.5s,24.5,
Draymond Green,,,5.5,0.5s,,,8.0,12.5,1.5s,1.5,6.5,,,0.5s,20.5,0.5
Michael Porter Jr.,,,,0.5s,,,18.5,,1.5s,1.5s,6.5,,,0.5s,26.5,3.0
Klay Thompson,,,,0.5s,,,,,,0.5s,2.5,,,0.5,17.5,2.5
Kentavious Caldwell-Pope,,,,0.5s,,,,,,1.5s,2.5,,,0.5s,14.5,1.5s
Andrew Wiggins,,18.5,,0.5s,,,,6.5,,1.5s,4.5,,,0.5s,20.5,1.5s
Brandin Podziemski,17.5,18.5,5.0,0.5s,,,12.5,11.0,1.5s,0.5s,6.0,,,0.5,24.5,1.5
Jonathan Kuminga,19.5,21.5,,0.5,,,,8.0,1.5s,1.5s,5.0,,,0.5s,24.5,0.5s
Lauri Markkanen,,,,0.5s,,39.35,23.5,,1.5,1.5s,8.5,,0.5s,0.5s,35.5,3.0
Victor Wembanyama,27.5,33.5,4.0,3.0,,51.35,23.5,15.0,3.0,4.5,10.5,,0.5s,1.5,38.5,1.5s
Devin Vassell,24.5,24.5,4.0,0.5s,,,,8.0,1.5,1.5s,,,,,28.5,2.5s
Keldon Johnson,16.5,18.5,,0.5s,,,,6.5,1.5s,1.5s,4.5,,,0.5s,20.5,1.5s
John Collins,16.5,24.5,,0.5s,,,15.0,11.5,1.5s,1.5s,9.5,,0.5s,0.5s,26.5,0.5s
Jeremy Sochan,16.5,19.5,,0.5,,,13.5,8.5,1.5s,1.5,6.5,,,0.5s,22.5,0.5s
Jordan Clarkson,23.5,21.5,5.0,0.5s,,,,8.5,2.5s,0.5s,3.5,,,0.5,26.5,2.0
Collin Sexton,26.5,22.5,6.0,0.5s,,,19.5,9.0,2.0,0.5s,3.0,,,0.5s,29.5,1.5
Tre Jones,17.5,,7.0,0.5s,,,10.5,10.5,1.5s,1.5s,,,,1.5s,21.5,0.5
Julian Champagnie,,,,0.5s,,,,,,1.5s,3.0,,,,10.5,1.5s
Keyonte George,21.5,18.5,5.5,0.5s,,,,9.0,2.0,1.5s,,,,0.5s,24.5,2.5
Jerami Grant,27.5,27.5,3.5,0.5s,,,,7.5,2.0,1.5s,4.0,,,0.5s,31.5,2.0
Anfernee Simons,30.5,27.5,7.0,0.5s,,37.45,23.5,10.5,2.5,0.5s,3.5,,,0.5s,34.5,3.5
Miles Bridges,28.5,32.5,4.0,0.5s,,42.35,23.5,12.5,2.5s,2.0,8.0,,0.5s,1.5s,36.5,2.5
Deandre Ayton,18.5,27.5,,0.5s,,,16.5,,1.5,2.0,10.5s,,0.5s,0.5s,29.5,
Grant Williams,,,,0.5s,,,,,1.5,1.5s,4.0,,,,18.5,2.0
