Name,PointsReboundsAssists_Line,Points_Line,ReboundsAssists_Line,PointsAssists_Line,Turnovers_Line,Rebounds_Line,Assists_Line,BlocksSteals_Line,Blocks_Line,Triple_Line,PointsRebounds_Line,Double_Line,Threes_Line,Steals_Line
Derrick Jones Jr.,11.5,,,,,,,0.5s,0.5s,,,,0.5,0.5
Nikola Jokic,49.5,26.5,22.5,35.5,3.0,13.5,8.5,2.5,1.5s,0.5s,40.5,0.5s,0.5s,1.5s
Jamal Murray,33.5,21.5,11.5,29.5,2.5s,4.5,7.5,1.5,0.5s,,26.5,,2.5s,0.5s
Desmond Bane,29.5,,9.0,25.5,2.0,4.0,5.0,1.5s,0.5s,,24.5,,2.5,0.5s
Jaren Jackson Jr.,30.5,,8.0,24.5,3.0,5.5,,2.5,1.5s,,27.5,,1.5,1.5s
De'Aaron Fox,36.5,25.5,11.0,31.5,3.5s,5.0,5.5,2.5,0.5s,,31.5,,2.5,2.0
Domantas Sabonis,43.5,19.5,23.5,27.5,2.5,15.0,8.0,1.5,0.5s,0.5s,35.5,0.5s,0.5s,0.5s
Tyrese Maxey,35.5,,9.0,31.5,2.5s,3.5,5.5s,1.5s,0.5s,,29.5,,2.5s,0.5s
Tobias Harris,27.5,17.5,10.0,20.5,1.5,7.0,,1.5,0.5s,,24.5,,1.5s,0.5s
Keegan Murray,23.5,15.5,8.0,16.5,,6.5s,,1.5s,0.5s,,21.5,,2.5,0.5s
Harrison Barnes,17.5,,,,,,,0.5s,0.5s,,16.5,,1.5s,0.5
Kelly Oubre Jr.,25.5,,7.5,19.5,1.5s,5.5,2.0,1.5s,0.5,,23.5,,1.5,0.5s
Malik Monk,24.5,,8.5,21.5,2.0,3.5,4.5,0.5s,0.5s,,19.5,,2.0,0.5
Mo Bamba,13.5,,7.5,7.5,0.5s,6.0,,1.5s,1.5s,,12.5,,0.5s,0.5
Keon Ellis,12.5,,5.5,9.5,0.5s,,2.0,2.5,0.5s,,10.5,,1.5,1.5
Kawhi Leonard,33.5,24.5,9.5,27.5,1.5s,6.0,,2.0,0.5,,30.5,,1.5,1.5s
Tyrese Haliburton,33.5,18.5,14.5,29.5,2.0,4.0,10.5,2.0,0.5s,,22.5,0.5s,2.5,1.5s
Paul George,32.5,,8.5,27.5,2.5s,,3.5,2.0,0.5,,29.5,,3.0,1.5s
James Harden,31.5,16.5,14.5,25.5,2.5,,9.0,1.5,0.5,,21.5,0.5s,2.5,0.5s
Pascal Siakam,34.5,22.5,11.0,26.5,1.5,7.5,,1.5s,0.5s,,31.5,0.5s,0.5,0.5s
Myles Turner,22.5,14.5,8.0,15.5,1.5,7.0,,2.0,1.5,,21.5,,1.5s,0.5
Ivica Zubac,20.5,10.0,10.5,,1.5s,9.5s,,1.5,0.5s,,19.5,0.5s,,0.5s
Terance Mann,14.5,,,,,3.5,,0.5s,0.5s,,,,0.5s,0.5
Andrew Nembhard,15.5,,6.0,,1.5s,,,0.5s,0.5s,,,,0.5s,0.5s
Aaron Nesmith,17.5,,5.5,,,4.0,,1.5s,0.5,,16.5,,1.5s,0.5
