Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Rebounds_Assists_Over,Points_Rebounds_Assists_Under,Points_Rebounds_Assists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Tobias Harris,,-166,3.5,,-131,16.5,,-117,25.5,,112,5.5,,-234,1.5
Buddy Hield,,-139,3.5,,-104,12.5,,-117,19.5,,106,3.5,,110,2.5
Derrick White,,126,3.5,,-121,14.5,,-115,22.5,,-127,3.5,,-117,2.5
Paul Reed,,-169,1.5,,-106,8.5,,-125,19.5,,-115,8.5,,-354,0.5
Tyrese Maxey,,-106,5.5,,-103,25.5,,-104,35.5,,116,3.5,,-101,2.5
Jrue Holiday,,116,4.5,,-111,11.5,,-117,21.5,,-103,4.5,,123,1.5
Kelly Oubre Jr.,,172,0.5,,-127,13.5,,-117,19.5,,-113,4.5,,-179,1.5
Jayson Tatum,,-127,5.5,,-123,26.5,,-125,40.5,,-121,8.5,,-163,3.5
Al Horford,,,,,,,,-123,14.5,,-101,5.5,,-224,1.5
Sam Hauser,,,,,,,,,,,,,,-127,1.5
Payton Pritchard,,,,,,,,,,,,,,-127,1.5
Trey Murphy III,,-103,1.5,,-101,13.5,,106,19.5,,-145,4.5,,118,2.5
Precious Achiuwa,,112,1.5,,-104,12.5,,-111,25.5,,114,10.5,,-189,0.5
Zion Williamson,,133,5.5,,-111,23.5,,-104,35.5,,104,5.5,,,
Jonas Valanciunas,,-179,2.5,,-104,13.5,,-123,26.5,,-145,10.5,,-214,0.5
Brandon Ingram,,-131,6.5,,133,20.5,,118,32.5,,-174,5.5,,-163,1.5
Donte DiVincenzo,,-117,4.5,,100,21.5,,-103,30.5,,-145,4.5,,114,4.5
Herbert Jones,,-119,2.5,,102,11.5,,-101,18.5,,-148,4.5,,-111,1.5
Josh Hart,,-148,6.5,,114,13.5,,-103,29.5,,136,8.5,,-154,1.5
Larry Nance Jr.,,,,,,,,-121,12.5,,-133,5.5,,-224,0.5
Naji Marshall,,,,,,,,,,,-157,3.5,,-119,0.5
Jordan Hawkins,,,,,,,,,,,,,,-123,1.5
Coby White,,-137,5.5,,-115,22.5,,-103,32.5,,-104,4.5,,-163,3.5
Jaden Ivey,,-111,3.5,,-108,13.5,,-109,21.5,,-163,3.5,,-151,1.5
Alex Caruso,,-137,3.5,,-101,9.5,,-123,17.5,,104,3.5,,-103,1.5
Jalen Duren,,-157,2.5,,-117,13.5,,-108,26.5,,100,10.5,,,
Cade Cunningham,,-142,7.5,,-121,21.5,,-157,33.5,,120,3.5,,110,1.5
Nikola Vucevic,,116,2.5,,-115,19.5,,-125,34.5,,-117,11.5,,-234,1.5
Ayo Dosunmu,,-166,4.5,,-104,14.5,,-113,22.5,,-127,3.5,,114,1.5
Simone Fontecchio,,-127,1.5,,-104,11.5,,-117,16.5,,-145,3.5,,-163,2.5
DeMar DeRozan,,116,4.5,,-121,23.5,,-127,33.5,,-157,4.5,,133,0.5
Andre Drummond,,,,,-125,8.5,,-127,18.5,,-106,8.5,,,
Jevon Carter,,,,,,,,,,,,,,-194,1.5
Tre Mann,,-131,4.5,,-104,11.5,,-117,20.5,,116,3.5,,-117,1.5
Jae Crowder,,-127,1.5,,-106,5.5,,-109,11.5,,-157,4.5,,165,0.5
Vasilije Micic,,-104,4.5,,-117,8.5,,104,14.5,,,,,123,0.5
Cody Martin,,-111,3.5,,-137,8.5,,-115,16.5,,-133,4.5,,152,0.5
Brook Lopez,,-103,1.5,,-113,12.5,,-125,20.5,,-123,5.5,,118,1.5
Giannis Antetokounmpo,,102,6.5,,-127,29.5,,-113,48.5,,-103,11.5,,-179,0.5
Brandon Miller,,-127,2.5,,-117,18.5,,-125,25.5,,-151,4.5,,-115,2.5
Patrick Beverley,,-199,3.5,,,,,,,,,,,-109,0.5
Nick Richards,,143,0.5,,-129,10.5,,-125,20.5,,104,8.5,,,
Malik Beasley,,-179,1.5,,-157,12.5,,-119,17.5,,-142,3.5,,-157,3.5
Damian Lillard,,120,6.5,,-142,24.5,,-117,35.5,,112,3.5,,120,2.5
Miles Bridges,,123,3.5,,-121,20.5,,-111,32.5,,-123,7.5,,-169,2.5
Grant Williams,,,,,-106,9.5,,-123,15.5,,104,3.5,,112,1.5
Bobby Portis,,,,,-103,13.5,,-115,22.5,,-151,7.5,,-163,1.5
Pat Connaughton,,,,,,,,,,,108,3.5,,-214,1.5
Seth Curry,,,,,,,,,,,,,,-154,1.5
Anthony Edwards,,118,4.5,,-121,32.5,,-113,43.5,,-142,6.5,,-157,3.5
Julian Champagnie,,-174,1.5,,-115,5.5,,-131,10.5,,112,2.5,,136,0.5
Devin Vassell,,104,3.5,,-109,18.5,,-108,26.5,,112,3.5,,-179,2.5
Mike Conley,,-111,5.5,,-108,11.5,,-131,21.5,,-166,3.5,,-151,2.5
Tre Jones,,-125,6.5,,-101,8.5,,-106,18.5,,126,2.5,,-163,0.5
Rudy Gobert,,-234,1.5,,-121,15.5,,-119,31.5,,-108,14.5,,,
Jaden McDaniels,,-184,1.5,,-106,11.5,,-113,16.5,,-137,3.5,,-137,1.5
Jeremy Sochan,,-154,2.5,,-125,11.5,,-108,19.5,,100,5.5,,100,0.5
Victor Wembanyama,,-151,3.5,,-137,22.5,,-137,36.5,,-142,10.5,,-103,1.5
